Fecha,Dia_Semana,Festivo,Dia_sin_carro,Hubo_Protesta,Es_COVID,Hay_Evento,Nombre_Evento
25/10/2015,Domingo,NO,NO,NO,NO,SI,Festival de Cine
26/10/2015,Lunes,NO,NO,NO,NO,SI,Festival de Cine
27/10/2015,Martes,NO,NO,NO,NO,SI,Festival de Cine
28/10/2015,Miercoles,NO,NO,NO,NO,SI,Festival de Cine
29/10/2015,Jueves,NO,NO,NO,NO,SI,Festival de Cine
30/10/2015,Viernes,NO,NO,NO,NO,SI,Festival de Cine
31/10/2015,Sábado,NO,NO,NO,NO,SI,Halloween
01/11/2015,Domingo,NO,NO,NO,NO,SI,Dia de Todos los Santos
02/11/2015,Lunes,SI,NO,NO,NO,NO,Sin_Registro
03/11/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
04/11/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
05/11/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
06/11/2015,Viernes,NO,NO,NO,NO,SI,Hip Hop al Parque
07/11/2015,Sábado,NO,NO,NO,NO,SI,Hip Hop al Parque
08/11/2015,Domingo,NO,NO,NO,NO,SI,Hip Hop al Parque
09/11/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
10/11/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
11/11/2015,Miercoles,NO,NO,NO,NO,NO,Sin_Registro
12/11/2015,Jueves,NO,NO,NO,NO,NO,Sin_Registro
13/11/2015,Viernes,NO,NO,NO,NO,NO,Sin_Registro
14/11/2015,Sábado,NO,NO,NO,NO,NO,Sin_Registro
15/11/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
16/11/2015,Lunes,SI,NO,NO,NO,NO,Sin_Registro
17/11/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
18/11/2015,Miercoles,NO,NO,NO,NO,SI,Bogota Music Market
19/11/2015,Jueves,NO,NO,NO,NO,SI,Bogota Music Market
20/11/2015,Viernes,NO,NO,NO,NO,SI,Bogota Music Market
21/11/2015,Sábado,NO,NO,NO,NO,SI,Bogota Music Market
22/11/2015,Domingo,NO,NO,NO,NO,NO,Sin_Registro
23/11/2015,Lunes,NO,NO,NO,NO,NO,Sin_Registro
24/11/2015,Martes,NO,NO,NO,NO,NO,Sin_Registro
